intention_en,intention_ar,keywords
offering,تقديم قربان,"offering,give,bread,beer,wine,incense,food,provision,altar,sacrifice,present,donate,dedicate,bestow,grant,pour,libation,ritual,feast,banquet,meal,sustenance,nourishment,gift,tribute,oblation,consecrate,hallow,sanctify,offer,endow"
food_offering,تقديم طعام,"bread,beer,beef,fowl,alabaster,linen,meat,grain,fruit,vegetable,fish,goose,ox,cattle,goat,sheep,barley,wheat,emmer,date,fig,onion,garlic,oil,fat,honey,milk,water,drink,cup,jar,vessel,pot"
libation,سكب الماء,"water,pour,libation,cool,refresh,pool,lake,canal,river,Nile,flood,inundation,stream,flow,wave,liquid,drink,quench,thirst,purify,cleanse,wash,overflow,abundance"
incense_offering,تقديم البخور,"incense,fumigate,smoke,myrrh,resin,fragrance,perfume,scent,aroma,burn,flame,fire,brazier,censer,purify,sanctify,holy,sacred,divine,consecrate"
daily_offering,القربان اليومي,"daily,every day,morning,evening,night,ritual,regular,routine,temple,priest,pure,clean,wab,lector,recite,formula,spell,words,speak,utter"
prayer,صلاة وعبادة,"god,goddess,pray,worship,adore,praise,divine,lord,lady,majesty,great,mighty,power,glory,exalt,glorify,bless,invoke,call,petition,supplicate,kneel,bow,prostrate,revere,venerate,honor,respect,holy,sacred"
hymn,تسبيح وترنيم,"praise,hymn,sing,chant,recite,speak,words,beautiful,good,great,mighty,lord,king,god,Ra,Amun,Osiris,Horus,beloved,eternal,endure,forever,million,years,jubilee"
adoration,تعظيم وإجلال,"adore,adoration,worship,bow,kneel,prostrate,revere,honor,glorify,exalt,great,mighty,powerful,divine,sacred,holy,majesty,lord,king,pharaoh,god,goddess"
invocation,استدعاء الآلهة,"come,arise,appear,descend,ascend,hear,listen,answer,respond,grant,give,bestow,favor,protect,guard,ward,divine,god,goddess,spirit,soul,power,manifestation"
thanksgiving,شكر وامتنان,"thank,grateful,gratitude,praise,give,grant,favor,beloved,blessed,fortunate,happy,joy,gladness,good,beautiful,perfect,peace,health,prosperity"
royal_titulary,ألقاب ملكية,"king,pharaoh,majesty,throne,crown,ruler,sovereign,lord,two lands,upper,lower,Egypt,son,Ra,Horus,Amun,beloved,chosen,strong,mighty,great,eternal,million,years,jubilee,sed,festival"
coronation,تتويج الملك,"crown,throne,ascend,appear,glory,white,red,double,blue,war,helmet,uraeus,scepter,crook,flail,rule,govern,reign,establish,found,unite,two lands"
royal_decree,مرسوم ملكي,"decree,command,order,proclaim,establish,found,build,construct,endow,grant,give,land,field,estate,temple,monument,statue,offering,eternal,forever"
military_victory,انتصار عسكري,"victory,conquer,defeat,smite,enemy,foreign,land,bow,arrow,sword,strength,power,mighty,great,warrior,army,troops,campaign,battle,war,tribute,captive,prisoner"
royal_building,بناء ملكي,"build,construct,erect,establish,found,temple,monument,pyramid,obelisk,statue,stela,chapel,shrine,hall,column,gate,wall,stone,granite,limestone,gold,silver"
sed_festival,مهرجان السد,"jubilee,sed,festival,thirty,years,renew,rejuvenate,strength,power,reign,king,throne,run,race,ritual,ceremony,celebrate,eternal,million"
royal_epithet,لقب ملكي,"strong,mighty,powerful,great,beloved,chosen,good,beautiful,perfect,divine,sacred,eternal,lord,king,god,Ra,Amun,Horus,truth,justice,maat,arm,sword"
funerary_formula,صيغة جنائزية,"offering,king,gives,Osiris,lord,west,voice,bread,beer,ox,fowl,alabaster,linen,everything,good,pure,beautiful,eternal,justified,revered,honored,tomb,burial"
resurrection,البعث والقيامة,"rise,arise,awaken,live,revive,resurrect,eternal,forever,spirit,soul,ba,ka,akh,transform,become,ascend,heaven,sky,star,sun,moon,light,shine,glory"
mummification,التحنيط,"wrap,bind,linen,mummy,body,preserve,embalm,natron,oil,resin,canopic,jar,organ,heart,liver,lung,intestine,stomach,protect,eternal,forever"
judgment,محكمة الحساب,"heart,weigh,balance,scale,feather,truth,maat,justify,true,voice,judgment,tribunal,forty-two,assessors,confess,sin,evil,pure,clean,white,pass"
offering_for_dead,تقديم للمتوفى,"revered,honored,justified,true,voice,bread,beer,ox,fowl,alabaster,linen,everything,good,pure,beautiful,tomb,burial,eternal,forever,ka,soul,spirit"
tomb_inscription,نقش قبري,"tomb,burial,eternal,forever,revered,honored,justified,good,beautiful,pure,clean,name,live,endure,monument,statue,offering,beloved,praised,favored"
